Year,Round,Overall_Pick,Nationality,Full_Name,Position,season,sequenceNumber,stat_assists,stat_goals,stat_pim,stat_games,stat_penaltyMinutes,stat_points,team_name,team_link,league_name,league_link,team_id,league_id,stat_powerPlayGoals,stat_gameWinningGoals,stat_shortHandedGoals,stat_plusMinus,stat_shots,stat_timeOnIce,stat_hits,stat_powerPlayPoints,stat_powerPlayTimeOnIce,stat_evenTimeOnIce,stat_faceOffPct,stat_shotPct,stat_overTimeGoals,stat_shortHandedPoints,stat_shortHandedTimeOnIce,stat_blocked,stat_shifts,season_played
2015,1,1,Canada,Connor McDavid,(C),20152016,1,32.0,16.0,18.0,45.0,18,48.0,Edmonton Oilers,/api/v1/teams/22,National Hockey League,/api/v1/league/133,22.0,133.0,3.0,5.0,0.0,-1.0,105.0,849:49,12.0,14.0,133:22,681:18,41.23,15.24,1.0,0.0,35:09,10.0,1030.0,1
2015,1,1,Canada,Connor McDavid,(C),20162017,1,70.0,30.0,26.0,82.0,26,100.0,Edmonton Oilers,/api/v1/teams/22,National Hockey League,/api/v1/league/133,22.0,133.0,3.0,6.0,1.0,27.0,251.0,1732:47,34.0,27.0,248:53,1418:05,43.18,11.95,1.0,2.0,65:49,29.0,1998.0,2
2015,1,1,Canada,Connor McDavid,(C),20172018,1,67.0,41.0,26.0,82.0,26,108.0,Edmonton Oilers,/api/v1/teams/22,National Hockey League,/api/v1/league/133,22.0,133.0,5.0,7.0,1.0,20.0,274.0,1767:14,28.0,20.0,243:13,1434:45,41.36,14.96,2.0,4.0,89:16,46.0,1940.0,3
2015,1,2,United States,Jack Eichel,(C),20152016,1,32.0,24.0,22.0,81.0,22,56.0,Buffalo Sabres,/api/v1/teams/7,National Hockey League,/api/v1/league/133,7.0,133.0,8.0,5.0,0.0,-16.0,238.0,1548:51,43.0,21.0,246:21,1272:03,41.02,10.08,1.0,0.0,30:27,25.0,1796.0,1
2015,1,2,United States,Jack Eichel,(C),20162017,1,33.0,24.0,22.0,61.0,22,57.0,Buffalo Sabres,/api/v1/teams/7,National Hockey League,/api/v1/league/133,7.0,133.0,10.0,4.0,0.0,-13.0,249.0,1215:08,26.0,24.0,181:57,1018:30,38.94,9.64,1.0,0.0,14:41,35.0,1343.0,2
2015,1,2,United States,Jack Eichel,(C),20172018,1,39.0,25.0,32.0,67.0,32,64.0,Buffalo Sabres,/api/v1/teams/7,National Hockey League,/api/v1/league/133,7.0,133.0,3.0,4.0,0.0,-25.0,246.0,1349:36,52.0,20.0,249:35,1046:50,41.51,10.16,1.0,2.0,53:11,35.0,1558.0,3
2015,1,3,Canada,Dylan Strome,(C),20162017,1,1.0,0.0,0.0,7.0,0,1.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,0.0,0.0,0.0,-5.0,6.0,95:47,3.0,0.0,14:22,81:15,40.26,0.0,0.0,0.0,00:10,2.0,130.0,2
2015,1,3,Canada,Dylan Strome,(C),20172018,1,5.0,4.0,8.0,21.0,8,9.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,1.0,0.0,0.0,4.0,30.0,271:53,7.0,1.0,31:49,238:25,42.99,13.33,0.0,0.0,01:39,12.0,382.0,3
2015,1,5,United States,Noah Hanifin,(D),20152016,1,18.0,4.0,22.0,79.0,22,22.0,Carolina Hurricanes,/api/v1/teams/12,National Hockey League,/api/v1/league/133,12.0,133.0,1.0,0.0,0.0,-14.0,122.0,1414:25,67.0,7.0,187:10,1220:19,0.0,3.28,0.0,0.0,06:56,78.0,1769.0,1
2015,1,5,United States,Noah Hanifin,(D),20162017,1,25.0,4.0,26.0,81.0,26,29.0,Carolina Hurricanes,/api/v1/teams/12,National Hockey League,/api/v1/league/133,12.0,133.0,2.0,1.0,0.0,-19.0,108.0,1451:32,57.0,11.0,164:35,1283:52,0.0,3.7,1.0,0.0,03:05,73.0,1785.0,2
2015,1,5,United States,Noah Hanifin,(D),20172018,1,22.0,10.0,21.0,79.0,21,32.0,Carolina Hurricanes,/api/v1/teams/12,National Hockey League,/api/v1/league/133,12.0,133.0,1.0,3.0,0.0,-20.0,165.0,1489:57,81.0,7.0,142:04,1341:18,0.0,6.06,1.0,0.0,06:35,69.0,1861.0,3
2015,1,6,Czech Republic,Pavel Zacha,(C),20152016,1,2.0,0.0,0.0,1.0,0,2.0,New Jersey Devils,/api/v1/teams/1,National Hockey League,/api/v1/league/133,1.0,133.0,0.0,0.0,0.0,4.0,3.0,16:51,1.0,0.0,04:14,11:42,33.33,0.0,0.0,0.0,00:55,0.0,21.0,1
2015,1,6,Czech Republic,Pavel Zacha,(C),20162017,1,16.0,8.0,19.0,70.0,19,24.0,New Jersey Devils,/api/v1/teams/1,National Hockey League,/api/v1/league/133,1.0,133.0,5.0,2.0,0.0,-17.0,83.0,1001:33,54.0,13.0,128:46,823:46,40.26,9.64,0.0,0.0,49:01,24.0,1299.0,2
2015,1,6,Czech Republic,Pavel Zacha,(C),20172018,1,17.0,8.0,30.0,69.0,30,25.0,New Jersey Devils,/api/v1/teams/1,National Hockey League,/api/v1/league/133,1.0,133.0,2.0,0.0,1.0,-3.0,112.0,991:37,70.0,5.0,90:10,829:06,43.86,7.14,0.0,1.0,72:21,22.0,1298.0,3
2015,1,7,Russia,Ivan Provorov,(D),20162017,1,24.0,6.0,34.0,82.0,34,30.0,Philadelphia Flyers,/api/v1/teams/4,National Hockey League,/api/v1/league/133,4.0,133.0,0.0,1.0,0.0,-7.0,161.0,1802:12,111.0,5.0,139:04,1430:49,0.0,3.73,0.0,0.0,232:19,166.0,2337.0,2
2015,1,7,Russia,Ivan Provorov,(D),20172018,1,24.0,17.0,20.0,82.0,20,41.0,Philadelphia Flyers,/api/v1/teams/4,National Hockey League,/api/v1/league/133,4.0,133.0,2.0,2.0,0.0,17.0,203.0,1980:32,148.0,5.0,145:13,1623:41,0.0,8.37,0.0,0.0,211:38,169.0,2372.0,3
2015,1,8,United States,Zach Werenski,(D),20162017,1,36.0,11.0,14.0,78.0,14,47.0,Columbus Blue Jackets,/api/v1/teams/29,National Hockey League,/api/v1/league/133,29.0,133.0,4.0,1.0,0.0,17.0,188.0,1631:04,41.0,21.0,217:35,1354:28,0.0,5.85,1.0,0.0,59:01,90.0,2069.0,2
2015,1,8,United States,Zach Werenski,(D),20172018,1,21.0,16.0,16.0,77.0,16,37.0,Columbus Blue Jackets,/api/v1/teams/29,National Hockey League,/api/v1/league/133,29.0,133.0,3.0,3.0,0.0,8.0,207.0,1738:21,58.0,10.0,187:03,1492:39,0.0,7.73,1.0,0.0,58:39,92.0,2047.0,3
2015,1,9,Switzerland,Timo Meier,(RW),20162017,1,3.0,3.0,10.0,34.0,10,6.0,San Jose Sharks,/api/v1/teams/28,National Hockey League,/api/v1/league/133,28.0,133.0,0.0,1.0,0.0,1.0,85.0,424:06,64.0,0.0,06:19,404:00,20.0,3.53,0.0,0.0,13:47,5.0,626.0,2
2015,1,9,Switzerland,Timo Meier,(RW),20172018,1,15.0,21.0,51.0,81.0,51,36.0,San Jose Sharks,/api/v1/teams/28,National Hockey League,/api/v1/league/133,28.0,133.0,3.0,4.0,0.0,2.0,210.0,1204:17,105.0,4.0,102:41,1083:26,48.63,10.0,0.0,0.0,18:10,48.0,1656.0,3
2015,1,10,Finland,Mikko Rantanen,(RW),20152016,1,0.0,0.0,2.0,9.0,2,0.0,Colorado Avalanche,/api/v1/teams/21,National Hockey League,/api/v1/league/133,21.0,133.0,0.0,0.0,0.0,-7.0,9.0,80:37,0.0,0.0,00:00,80:19,54.17,0.0,0.0,0.0,00:18,11.0,115.0,1
2015,1,10,Finland,Mikko Rantanen,(RW),20162017,1,18.0,20.0,22.0,75.0,22,38.0,Colorado Avalanche,/api/v1/teams/21,National Hockey League,/api/v1/league/133,21.0,133.0,4.0,2.0,0.0,-25.0,133.0,1354:22,29.0,10.0,204:20,1144:16,58.0,15.04,1.0,0.0,05:46,33.0,1667.0,2
2015,1,10,Finland,Mikko Rantanen,(RW),20172018,1,55.0,29.0,34.0,81.0,34,84.0,Colorado Avalanche,/api/v1/teams/21,National Hockey League,/api/v1/league/133,21.0,133.0,12.0,3.0,0.0,0.0,178.0,1535:59,32.0,35.0,303:04,1231:25,51.28,16.29,0.0,0.0,01:30,40.0,1845.0,3
2015,1,11,Canada,Lawson Crouse,(LW),20162017,1,7.0,5.0,48.0,72.0,48,12.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,0.0,2.0,1.0,-20.0,84.0,855:58,160.0,0.0,01:51,747:29,50.0,5.95,0.0,1.0,106:38,29.0,1212.0,2
2015,1,11,Canada,Lawson Crouse,(LW),20172018,1,0.0,1.0,7.0,11.0,7,1.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,0.0,0.0,0.0,-6.0,13.0,120:20,29.0,0.0,00:32,116:11,27.27,7.69,0.0,0.0,03:37,6.0,194.0,3
2015,1,12,Russia,Denis Gurianov,(RW),20162017,1,0.0,0.0,0.0,1.0,0,0.0,Dallas Stars,/api/v1/teams/25,National Hockey League,/api/v1/league/133,25.0,133.0,0.0,0.0,0.0,-1.0,0.0,13:06,1.0,0.0,00:00,13:06,0.0,0.0,0.0,0.0,00:00,3.0,17.0,2
2015,1,14,Canada,Jake DeBrusk,(LW),20172018,1,27.0,16.0,19.0,70.0,19,43.0,Boston Bruins,/api/v1/teams/6,National Hockey League,/api/v1/league/133,6.0,133.0,2.0,5.0,0.0,13.0,143.0,1005:59,70.0,9.0,126:19,874:01,43.33,11.19,0.0,0.0,05:39,26.0,1272.0,3
2015,1,16,Canada,Mathew Barzal,(C),20162017,1,0.0,0.0,6.0,2.0,6,0.0,New York Islanders,/api/v1/teams/2,National Hockey League,/api/v1/league/133,2.0,133.0,0.0,0.0,0.0,-2.0,0.0,19:30,1.0,0.0,01:02,18:28,46.15,0.0,0.0,0.0,00:00,0.0,32.0,2
2015,1,16,Canada,Mathew Barzal,(C),20172018,1,63.0,22.0,30.0,82.0,30,85.0,New York Islanders,/api/v1/teams/2,National Hockey League,/api/v1/league/133,2.0,133.0,5.0,4.0,0.0,1.0,170.0,1456:47,21.0,27.0,259:36,1194:28,42.57,12.94,1.0,0.0,02:43,31.0,1582.0,3
2015,1,17,United States,Kyle Connor,(LW),20162017,1,3.0,2.0,4.0,20.0,4,5.0,Winnipeg Jets,/api/v1/teams/52,National Hockey League,/api/v1/league/133,52.0,133.0,0.0,1.0,0.0,-7.0,24.0,244:25,1.0,2.0,27:59,216:26,50.0,8.33,0.0,0.0,00:00,8.0,327.0,2
2015,1,17,United States,Kyle Connor,(LW),20172018,1,26.0,31.0,16.0,76.0,16,57.0,Winnipeg Jets,/api/v1/teams/52,National Hockey League,/api/v1/league/133,52.0,133.0,7.0,7.0,0.0,8.0,192.0,1284:56,18.0,11.0,202:20,1081:51,28.57,16.15,3.0,0.0,00:45,26.0,1611.0,3
2015,1,18,Canada,Thomas Chabot,(D),20162017,1,0.0,0.0,0.0,1.0,0,0.0,Ottawa Senators,/api/v1/teams/9,National Hockey League,/api/v1/league/133,9.0,133.0,0.0,0.0,0.0,-2.0,1.0,07:09,1.0,0.0,00:00,07:09,0.0,0.0,0.0,0.0,00:00,0.0,13.0,2
2015,1,18,Canada,Thomas Chabot,(D),20172018,1,16.0,9.0,14.0,63.0,14,25.0,Ottawa Senators,/api/v1/teams/9,National Hockey League,/api/v1/league/133,9.0,133.0,0.0,0.0,0.0,-12.0,94.0,1103:11,44.0,8.0,118:13,975:25,0.0,9.57,0.0,0.0,09:33,64.0,1441.0,3
2015,1,19,Russia,Evgeny Svechnikov,(LW),20162017,1,0.0,0.0,0.0,2.0,0,0.0,Detroit Red Wings,/api/v1/teams/17,National Hockey League,/api/v1/league/133,17.0,133.0,0.0,0.0,0.0,0.0,4.0,26:17,2.0,0.0,00:00,26:17,0.0,0.0,0.0,0.0,00:00,1.0,43.0,2
2015,1,19,Russia,Evgeny Svechnikov,(LW),20172018,1,2.0,2.0,8.0,14.0,8,4.0,Detroit Red Wings,/api/v1/teams/17,National Hockey League,/api/v1/league/133,17.0,133.0,0.0,0.0,0.0,-2.0,15.0,123:29,15.0,0.0,00:00,123:29,20.0,13.33,0.0,0.0,00:00,6.0,179.0,3
2015,1,20,Sweden,Joel Eriksson,Ek,20162017,1,4.0,3.0,4.0,15.0,4,7.0,Minnesota Wild,/api/v1/teams/30,National Hockey League,/api/v1/league/133,30.0,133.0,0.0,1.0,0.0,1.0,15.0,159:11,23.0,0.0,01:28,155:15,41.28,20.0,0.0,0.0,02:28,8.0,244.0,2
2015,1,20,Sweden,Joel Eriksson,Ek,20172018,1,10.0,6.0,22.0,75.0,22,16.0,Minnesota Wild,/api/v1/teams/30,National Hockey League,/api/v1/league/133,30.0,133.0,0.0,0.0,0.0,2.0,124.0,958:23,134.0,0.0,08:20,868:37,42.58,4.84,0.0,0.0,81:26,46.0,1271.0,3
2015,1,23,United States,Brock Boeser,(RW),20162017,1,1.0,4.0,0.0,9.0,0,5.0,Vancouver Canucks,/api/v1/teams/23,National Hockey League,/api/v1/league/133,23.0,133.0,2.0,1.0,0.0,0.0,25.0,145:55,5.0,2.0,15:54,130:01,0.0,16.0,0.0,0.0,00:00,0.0,188.0,2
2015,1,23,United States,Brock Boeser,(RW),20172018,1,26.0,29.0,16.0,62.0,16,55.0,Vancouver Canucks,/api/v1/teams/23,National Hockey League,/api/v1/league/133,23.0,133.0,10.0,4.0,0.0,-5.0,179.0,1084:32,29.0,23.0,181:16,900:50,25.64,16.2,0.0,0.0,02:26,24.0,1396.0,3
2015,1,24,Canada,Travis Konecny,(C),20162017,1,17.0,11.0,49.0,70.0,49,28.0,Philadelphia Flyers,/api/v1/teams/4,National Hockey League,/api/v1/league/133,4.0,133.0,3.0,0.0,0.0,-2.0,133.0,986:20,92.0,4.0,118:05,866:59,0.0,8.27,0.0,0.0,01:16,26.0,1330.0,2
2015,1,24,Canada,Travis Konecny,(C),20172018,1,23.0,24.0,46.0,81.0,46,47.0,Philadelphia Flyers,/api/v1/teams/4,National Hockey League,/api/v1/league/133,4.0,133.0,1.0,6.0,0.0,17.0,177.0,1207:29,97.0,3.0,114:03,1092:47,33.33,13.56,2.0,0.0,00:39,53.0,1593.0,3
2015,1,25,United States,Jack Roslovic,(C),20162017,1,0.0,0.0,0.0,1.0,0,0.0,Winnipeg Jets,/api/v1/teams/52,National Hockey League,/api/v1/league/133,52.0,133.0,0.0,0.0,0.0,-1.0,1.0,08:24,0.0,0.0,00:00,08:24,16.67,0.0,0.0,0.0,00:00,1.0,14.0,2
2015,1,25,United States,Jack Roslovic,(C),20172018,1,9.0,5.0,2.0,31.0,2,14.0,Winnipeg Jets,/api/v1/teams/52,National Hockey League,/api/v1/league/133,52.0,133.0,0.0,1.0,0.0,5.0,38.0,381:59,20.0,0.0,36:06,345:53,46.15,13.16,0.0,0.0,00:00,9.0,519.0,3
2015,1,26,Canada,Noah Juulsen,(D),20172018,1,2.0,1.0,4.0,23.0,4,3.0,Montréal Canadiens,/api/v1/teams/8,National Hockey League,/api/v1/league/133,8.0,133.0,0.0,0.0,0.0,1.0,33.0,446:44,58.0,0.0,08:18,384:26,0.0,3.03,0.0,0.0,54:00,34.0,639.0,3
2015,1,27,Sweden,Jacob Larsson,(D),20162017,1,0.0,0.0,2.0,4.0,2,0.0,Anaheim Ducks,/api/v1/teams/24,National Hockey League,/api/v1/league/133,24.0,133.0,0.0,0.0,0.0,-1.0,2.0,65:43,1.0,0.0,04:19,53:12,0.0,0.0,0.0,0.0,08:12,1.0,85.0,2
2015,1,28,Canada,Anthony Beauvillier,(LW),20162017,1,15.0,9.0,10.0,66.0,10,24.0,New York Islanders,/api/v1/teams/2,National Hockey League,/api/v1/league/133,2.0,133.0,0.0,2.0,0.0,1.0,101.0,859:23,81.0,1.0,33:06,822:13,41.41,8.91,0.0,0.0,04:04,26.0,1135.0,2
2015,1,28,Canada,Anthony Beauvillier,(LW),20172018,1,15.0,21.0,16.0,71.0,16,36.0,New York Islanders,/api/v1/teams/2,National Hockey League,/api/v1/league/133,2.0,133.0,3.0,2.0,0.0,2.0,132.0,1031:24,80.0,8.0,67:04,910:57,43.37,15.91,0.0,0.0,53:23,29.0,1266.0,3
2015,1,29,Sweden,Gabriel Carlsson,(D),20162017,1,1.0,0.0,0.0,2.0,0,1.0,Columbus Blue Jackets,/api/v1/teams/29,National Hockey League,/api/v1/league/133,29.0,133.0,0.0,0.0,0.0,-2.0,3.0,34:15,5.0,0.0,00:00,33:31,0.0,0.0,0.0,0.0,00:44,2.0,46.0,2
2015,1,29,Sweden,Gabriel Carlsson,(D),20172018,1,2.0,0.0,4.0,14.0,4,2.0,Columbus Blue Jackets,/api/v1/teams/29,National Hockey League,/api/v1/league/133,29.0,133.0,0.0,0.0,0.0,0.0,18.0,158:37,10.0,0.0,00:08,155:07,0.0,0.0,0.0,0.0,03:22,10.0,209.0,3
2015,1,30,Canada,Nick Merkley,(RW),20172018,1,0.0,0.0,2.0,1.0,2,0.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,0.0,0.0,0.0,0.0,0.0,13:30,0.0,0.0,02:03,11:27,0.0,0.0,0.0,0.0,00:00,0.0,19.0,3
2015,2,32,United States,Christian Fischer,(RW),20162017,1,0.0,3.0,0.0,7.0,0,3.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,0.0,1.0,0.0,0.0,10.0,86:17,9.0,0.0,00:00,84:44,0.0,30.0,0.0,0.0,01:33,0.0,115.0,2
2015,2,32,United States,Christian Fischer,(RW),20172018,1,18.0,15.0,14.0,79.0,14,33.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,5.0,3.0,0.0,-17.0,154.0,1098:29,109.0,8.0,170:36,926:12,17.24,9.74,2.0,0.0,01:41,23.0,1572.0,3
2015,2,34,Canada,Travis Dermott,(D),20172018,1,12.0,1.0,8.0,37.0,8,13.0,Toronto Maple Leafs,/api/v1/teams/10,National Hockey League,/api/v1/league/133,10.0,133.0,0.0,0.0,0.0,16.0,54.0,591:47,48.0,0.0,03:19,574:11,0.0,1.85,0.0,0.0,14:17,36.0,821.0,3
2015,2,37,United States,Brandon Carlo,(D),20162017,1,10.0,6.0,59.0,82.0,59,16.0,Boston Bruins,/api/v1/teams/6,National Hockey League,/api/v1/league/133,6.0,133.0,0.0,0.0,1.0,9.0,88.0,1706:54,87.0,0.0,07:14,1485:09,0.0,6.82,0.0,1.0,214:31,115.0,2080.0,2
2015,2,37,United States,Brandon Carlo,(D),20172018,1,6.0,0.0,45.0,76.0,45,6.0,Boston Bruins,/api/v1/teams/6,National Hockey League,/api/v1/league/133,6.0,133.0,0.0,0.0,0.0,10.0,76.0,1462:01,89.0,0.0,03:41,1247:10,100.0,0.0,0.0,1.0,211:10,84.0,1857.0,3
2015,2,39,Canada,A.J. Greer,(LW),20162017,1,1.0,0.0,4.0,5.0,4,1.0,Colorado Avalanche,/api/v1/teams/21,National Hockey League,/api/v1/league/133,21.0,133.0,0.0,0.0,0.0,-2.0,8.0,68:17,4.0,0.0,02:52,63:27,0.0,0.0,0.0,0.0,01:58,3.0,102.0,2
2015,2,39,Canada,A.J. Greer,(LW),20172018,1,3.0,0.0,29.0,17.0,29,3.0,Colorado Avalanche,/api/v1/teams/21,National Hockey League,/api/v1/league/133,21.0,133.0,0.0,0.0,0.0,2.0,13.0,125:41,30.0,0.0,02:47,122:54,33.33,0.0,0.0,0.0,00:00,5.0,188.0,3
2015,2,45,Sweden,Jakob Forsbacka,Karlsson,20162017,1,0.0,0.0,0.0,1.0,0,0.0,Boston Bruins,/api/v1/teams/6,National Hockey League,/api/v1/league/133,6.0,133.0,0.0,0.0,0.0,0.0,0.0,08:25,0.0,0.0,00:00,08:25,50.0,0.0,0.0,0.0,00:00,1.0,13.0,2
2015,2,46,Netherlands,Daniel Sprong,(RW),20152016,1,0.0,2.0,0.0,18.0,0,2.0,Pittsburgh Penguins,/api/v1/teams/5,National Hockey League,/api/v1/league/133,5.0,133.0,0.0,0.0,0.0,-1.0,23.0,157:03,14.0,0.0,07:22,148:37,50.0,8.7,0.0,0.0,01:04,3.0,221.0,1
2015,2,46,Netherlands,Daniel Sprong,(RW),20172018,1,1.0,2.0,0.0,8.0,0,3.0,Pittsburgh Penguins,/api/v1/teams/5,National Hockey League,/api/v1/league/133,5.0,133.0,0.0,1.0,0.0,2.0,22.0,111:50,9.0,0.0,09:31,102:11,0.0,9.09,0.0,0.0,00:08,4.0,156.0,3
2015,2,48,Czech Republic,Filip Chlapik,(C),20172018,1,3.0,1.0,4.0,20.0,4,4.0,Ottawa Senators,/api/v1/teams/9,National Hockey League,/api/v1/league/133,9.0,133.0,0.0,0.0,0.0,-5.0,21.0,201:27,19.0,1.0,12:11,189:08,45.45,4.76,0.0,0.0,00:08,14.0,277.0,3
2015,2,50,United States,Jordan Greenway,(LW),20172018,1,1.0,0.0,0.0,6.0,0,1.0,Minnesota Wild,/api/v1/teams/30,National Hockey League,/api/v1/league/133,30.0,133.0,0.0,0.0,0.0,0.0,4.0,68:39,5.0,0.0,00:50,67:30,0.0,0.0,0.0,0.0,00:19,3.0,90.0,3
2015,2,51,Canada,Brendan Guhle,(D),20162017,1,0.0,0.0,0.0,3.0,0,0.0,Buffalo Sabres,/api/v1/teams/7,National Hockey League,/api/v1/league/133,7.0,133.0,0.0,0.0,0.0,1.0,4.0,49:03,3.0,0.0,00:05,48:58,0.0,0.0,0.0,0.0,00:00,8.0,71.0,2
2015,2,51,Canada,Brendan Guhle,(D),20172018,1,5.0,0.0,10.0,18.0,10,5.0,Buffalo Sabres,/api/v1/teams/7,National Hockey League,/api/v1/league/133,7.0,133.0,0.0,0.0,0.0,-6.0,37.0,325:54,10.0,0.0,16:41,301:43,0.0,0.0,0.0,0.0,07:30,8.0,450.0,3
2015,2,53,Sweden,Rasmus Andersson,(D),20162017,1,0.0,0.0,0.0,1.0,0,0.0,Calgary Flames,/api/v1/teams/20,National Hockey League,/api/v1/league/133,20.0,133.0,0.0,0.0,0.0,-1.0,0.0,18:33,4.0,0.0,01:52,16:40,0.0,0.0,0.0,0.0,00:01,2.0,23.0,2
2015,2,53,Sweden,Rasmus Andersson,(D),20172018,1,0.0,0.0,4.0,10.0,4,0.0,Calgary Flames,/api/v1/teams/20,National Hockey League,/api/v1/league/133,20.0,133.0,0.0,0.0,0.0,-1.0,8.0,154:23,2.0,0.0,15:37,136:00,0.0,0.0,0.0,0.0,02:46,10.0,207.0,3
2015,2,56,Canada,Vince Dunn,(D),20172018,1,19.0,5.0,20.0,75.0,20,24.0,St. Louis Blues,/api/v1/teams/19,National Hockey League,/api/v1/league/133,19.0,133.0,2.0,1.0,0.0,1.0,138.0,1292:19,29.0,9.0,149:36,1136:42,100.0,3.62,1.0,0.0,06:01,59.0,1654.0,3
2015,2,60,Sweden,Oliver Kylington,(D),20152016,1,0.0,0.0,0.0,1.0,0,0.0,Calgary Flames,/api/v1/teams/20,National Hockey League,/api/v1/league/133,20.0,133.0,0.0,0.0,0.0,0.0,1.0,17:22,0.0,0.0,00:38,16:43,0.0,0.0,0.0,0.0,00:01,1.0,20.0,1
2015,3,63,Canada,Kyle Capobianco,(D),20172018,1,0.0,0.0,0.0,1.0,0,0.0,Arizona Coyotes,/api/v1/teams/53,National Hockey League,/api/v1/league/133,53.0,133.0,0.0,0.0,0.0,-1.0,0.0,13:33,3.0,0.0,00:00,13:32,0.0,0.0,0.0,0.0,00:01,1.0,21.0,3
2015,3,67,Canada,Blake Speers,(C),20162017,1,0.0,0.0,0.0,3.0,0,0.0,New Jersey Devils,/api/v1/teams/1,National Hockey League,/api/v1/league/133,1.0,133.0,0.0,0.0,0.0,0.0,3.0,28:27,1.0,0.0,00:12,24:54,0.0,0.0,0.0,0.0,03:21,1.0,43.0,2
2015,3,72,Canada,Anthony Cirelli,(C),20172018,1,6.0,5.0,6.0,18.0,6,11.0,Tampa Bay Lightning,/api/v1/teams/14,National Hockey League,/api/v1/league/133,14.0,133.0,0.0,0.0,0.0,11.0,26.0,238:10,17.0,0.0,00:12,212:07,44.86,19.23,0.0,1.0,25:51,6.0,352.0,3
2015,4,96,Canada,Nicolas Roy,(C),20172018,1,0.0,0.0,0.0,1.0,0,0.0,Carolina Hurricanes,/api/v1/teams/12,National Hockey League,/api/v1/league/133,12.0,133.0,0.0,0.0,0.0,-1.0,1.0,10:46,2.0,0.0,00:00,10:46,60.0,0.0,0.0,0.0,00:00,0.0,16.0,3
